_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
7802.2284,5224.536726,5119.600473,4581.703832,659.0394525,657.2199023,652.725057,603.1401164,531.1195722,436.0791213,334.7416915,243.0411488,154.3826415,172.1917536,264.7054967,389.4162298,531.357695,637.0431697,712.4843858,772.1929811,803.644822,798.4616459,754.8516411,685.2284291,729.0630974,533.8773267,420.5769846,250.5693517,182.6170857,224.2008029,292.8566202,266.6270804,3264.627391,427.814212,685.962827,822.8347343,897.5171308,886.4220214,843.7067026,696.4553108,621.1682542,381.6935944,254.1889061,130.678996,141.7921013,250.9601562,369.4861296,495.9697571,575.1173793,610.0008197,596.7545559,602.6184531,576.799792,558.2517353,483.6961856,409.0048899,321.099673,212.4617613,114.8564321,89.87213139,95.38343672,0,8175,0
7802.2284,5224.536726,5119.600473,4581.703832,674.1691182,667.0719601,656.3025217,611.06219,528.9858221,437.7133765,338.5144015,252.2102298,168.0029762,165.4841382,242.14252,403.064511,515.9660842,613.2356806,712.1980062,773.5922699,809.543081,803.7269437,782.3611698,715.5892677,743.8554967,570.6706581,425.8462164,270.6473721,186.5529415,215.5736533,289.8861846,243.2056743,3264.627391,414.0845324,682.3606085,828.1551787,895.5199607,904.2057288,860.8141495,756.439026,656.9535752,441.2085675,304.3846251,184.0978001,126.0991673,227.4027265,352.4656012,434.2637447,528.2471013,607.289058,590.3769982,593.4854674,591.3281661,565.9761479,500.7124924,445.5838866,343.7702721,264.7810416,168.8135066,153.1828972,145.6193668,0,8175,0
7802.2284,5224.536726,5119.600473,4581.703832,704.9858155,686.0685097,669.5446214,625.4478396,550.0081818,468.4122116,369.8553771,260.1019031,145.4372717,133.7348122,229.6715045,379.7077824,496.8551097,610.7372594,706.5465307,778.386151,816.5941464,821.1120508,790.5567658,728.5176731,796.5707753,627.1522941,492.6986909,323.3032632,143.4015342,177.5894141,249.0722787,232.0193957,3264.627391,409.9280425,674.9059194,828.2813532,903.9054154,945.6833508,911.1580543,807.4112954,724.7406433,458.4233851,326.6634354,185.8090418,111.1980216,165.8493292,293.0273025,413.591586,519.516121,580.3878014,577.7239825,606.7231659,606.4231196,607.2240114,553.9431379,483.6238208,410.8783275,306.1388574,191.0183237,195.3176899,232.7251598,0,8175,0
7802.2284,5224.536726,5119.600473,4581.703832,669.6402019,664.6961712,653.8386651,606.1922137,537.8122349,446.2398458,346.0303455,246.9757073,159.4521872,174.2641673,254.1672678,391.414103,524.2184659,637.8165881,714.3024569,773.0899042,773.0899042,813.7333716,760.9428362,706.3207487,740.6443141,540.0416651,431.1287511,257.7013776,183.0956034,211.7663807,285.2034362,261,3264.627391,423.1181868,690.5251625,818.5267253,910.3477358,894.1258301,857.1890107,722.8727412,638.7879147,398.9009902,262.0686933,151.4760707,151.4760707,237.69939,356.2653505,486.7381226,566.4671217,618.728535,598.4947786,609.1411987,593.5056866,553.5964234,494.176082,423.2493355,330.8549531,224.0178564,126.9054766,94.9368211,109.931797,0,8175,0
7802.2284,5224.536726,5119.600473,4581.703832,713.0112201,688.6537592,661.6403857,608.8365955,549.6553466,462.7094121,356.4772082,259.9423013,164.5964763,153.6879956,236.6854453,356.2372805,494.3814317,608.264745,690.6981975,759.7183689,806.0055831,808.566633,779.1078231,717.5973802,789.0659035,617.039707,491.0896049,319.0814943,188.063819,165.1968523,233.430932,231.354706,3264.627391,399.7224037,657.2313139,804.5775289,890.2819778,923.7066634,891.0667764,786.8977062,716.9379332,462.1568998,330.6750671,199.4492417,111.7586686,157.8511958,281.2774431,414.4249027,511.1653353,562.7335071,571.6117564,596.5182311,599.0701128,589.0916737,541.2023651,478.1380554,403.8873605,302.6053536,199.271172,133.8992158,131.3202193,0,8175,0
7802.2284,5224.536726,5119.600473,4581.703832,683.2525155,675.4346749,664.2868356,617.1482804,544.7724296,452.6566027,357.6101229,260.9310254,167.0269439,160.3776792,225.3641498,374.0761954,492.9665303,605.5782361,704.5906613,766.6818114,807.2552261,820.2950689,794.8861554,740.9682854,778.7226721,610.9828148,476.092428,311.8413058,205.9951456,170.2938637,244.2334948,225.2043516,3264.627391,398.1369111,666.2507036,810.6472722,901.612999,913.9245045,892.7200009,783.6134251,709.6034104,487.1970854,359.3229745,225.8583627,110.0181803,163.370744,288.5307609,401.7412102,498.0813187,577.7586001,575.6005559,599.1802734,602.8283338,593.9031908,536.8994319,476.2992757,396.6106403,318.0251562,221.2532486,198.1565038,178.3395638,0,8175,0
7802.2284,5224.536726,5119.600473,4581.703832,680.9478688,673.7128468,665.483283,629.801556,543.3856825,458.5302607,360.8545413,266.5801943,165.9789143,149.1643389,222.0090088,379.8025803,479.4382129,591.0617565,699.3461232,769.5518176,818.3703318,805.6525306,793.5521407,737.0861551,791.2028817,636.1894372,488.1239597,327.9085238,192.5201288,181.8680841,252.8121833,217.6350156,3264.627391,393.7943626,662.3903683,818.210853,883.0730434,920.369491,896.4831287,809.1211281,719.5060806,490.4049347,361.4595413,232.8991198,132.6725292,177.6091214,293,375.0213327,481.7073801,577.2183296,571.9458016,584.7777356,594.2432162,594.6402274,533.1463214,478.787009,402.8920451,323.3481096,228.8776966,216.9331694,207.63911,0,8175,0
7802.2284,5224.536726,5119.600473,4581.703832,684.4793642,677.6577307,662.9698334,624.1546283,563.9689708,478.8068504,380.5049277,270.717565,187.32325,162.4961538,215.1766716,346.4852089,484.2003717,602.2997593,690.2941402,762.4781964,816.4802508,829.3961659,805.9931761,758.3943565,834.4255509,672.1904492,545.0302744,370.4726711,220.2385071,158.0790941,208.0024038,218.5772175,3264.627391,400.1512214,661.854969,825.1460477,927.4939353,971.6197816,948.4313365,848.1556461,778.3938592,519.1146309,395.9608567,259.9557655,140.121376,133.7235955,246.1300469,384.2525211,492.4408594,548.1979569,563.6772126,596.2348531,609.1387362,579.2969877,559.1422002,511.7069474,445.7140339,351.9502806,251.3364279,178.8770527,100.019998,0,8175,0
7802.2284,5224.536726,5119.600473,4581.703832,652.1380222,652.981623,650.9938556,610.6144446,547.6659566,467.0010707,372.2928954,266.1747546,167.1466422,133.0037593,205.3606584,330.0545409,466.0321877,586.9659275,678.9182572,753.9582217,800.8095904,815.2214423,787.1429349,745.0328852,837.0053763,650.4805916,545,371.7122543,192.2108218,153.5252422,200.2023976,212.708721,3264.627391,394.2207503,648.8890506,809.3268808,901.4044597,959.1188665,941.8386274,838.1360271,775.2173889,505.8112296,381.8127813,237.0759372,136.077184,128.4133949,233.8995511,366.2267057,477.2431246,540.6375866,551.6239661,582.7400793,587.5721232,555.9928057,552.42013,505.2019398,440.2658288,337.5203698,238.3799488,211.0094785,179.621825,0,8175,0
7802.2284,5224.536726,5119.600473,4581.703832,666.4833081,666.7683256,656.2750948,625.8258544,561.384004,478.7744772,387.1562992,287.2507615,187.8643127,126.6491216,177.5077463,321.7965196,433.212419,552.9629282,663.9954819,746.9310544,809.6400435,805.9683617,804.6073577,760.2848151,828.0392503,694.1015776,543.2807746,369.4374101,208.3122656,160.8508626,218.1857007,198.8491891,3264.627391,390.03205,657.2199023,823.1190679,900.3754772,937.1670075,920.9321365,832.1538319,749.7906374,513.0691961,383.7421009,243.3125562,126.2537128,154.7417203,272.9706944,376.1914406,484.1032948,563.69584,558.404871,583.1200562,599.5681779,578.9309112,535.3737013,479.4204835,401.2094216,320.0515583,227.0792813,176.1476653,114.3896848,0,8175,0
